Wavelength,Flux,BestFit,SkyFlux
3789.657,54.905,55.909,15.378
3790.531,57.494,55.769,11.980
3791.403,59.481,56.079,11.899
3792.277,60.384,56.871,11.663
3793.150,56.034,56.498,11.410
3794.022,60.095,56.205,10.884
3794.897,61.608,56.635,11.158
3795.770,55.749,56.940,10.924
3796.646,54.827,56.703,10.676
3797.519,60.392,56.567,10.471
3798.395,61.486,56.837,10.314
3799.269,53.864,56.872,10.093
3800.143,55.925,56.785,9.792
3801.019,59.437,57.111,9.603
3801.893,61.203,57.156,9.431
3802.770,61.823,56.417,9.237
3803.645,62.923,56.511,9.117
3804.522,61.712,56.946,8.970
3805.397,60.219,56.875,8.888
3806.273,71.918,56.441,8.901
3807.150,55.957,56.597,8.809
3808.026,55.743,56.841,8.961
3808.904,59.082,56.646,9.050
3809.780,53.839,56.148,9.220
3810.659,53.376,55.952,9.611
3811.536,58.120,56.352,10.104
3812.412,59.184,56.692,10.626
3813.292,59.269,57.243,11.262
3814.169,55.333,56.853,11.085
3815.048,66.142,56.963,11.079
3815.926,62.799,57.575,11.054
3816.806,61.423,57.280,11.211
3817.684,55.038,56.717,11.456
3818.562,55.337,57.147,10.983
3819.443,59.401,56.589,10.506
3820.322,55.529,56.285,9.769
3821.202,54.962,56.652,9.241
3822.082,60.546,56.763,9.104
3822.963,62.362,56.983,9.878
3823.842,53.479,56.986,10.690
3824.724,57.117,56.776,10.466
3825.604,54.976,56.384,8.946
3826.484,52.677,55.915,7.398
3827.366,56.898,55.726,7.826
3828.247,57.666,56.233,11.081
3829.130,53.658,56.462,15.648
3830.011,58.653,56.259,19.388
3830.894,57.538,55.540,20.517
3831.775,60.388,55.193,19.780
3832.657,62.720,55.689,18.829
3833.540,61.726,55.259,17.851
3834.422,58.410,55.657,16.511
3835.307,55.448,55.443,15.244
3836.189,54.127,54.931,14.521
3837.073,55.374,55.096,14.404
3837.956,58.289,55.968,14.398
3838.839,52.399,56.021,13.249
3839.724,54.173,54.900,11.654
3840.608,58.729,55.094,11.363
3841.493,55.168,55.194,12.731
3842.377,54.004,55.110,13.806
3843.263,56.041,55.871,13.534
3844.147,58.546,55.601,12.640
3845.032,60.640,55.041,11.854
3845.918,57.178,54.445,11.606
3846.803,55.014,54.169,11.463
3847.690,56.149,54.575,11.115
3848.575,56.490,55.229,10.661
3849.463,59.846,54.680,10.487
3850.348,56.926,54.448,10.786
3851.234,56.386,55.189,11.035
3852.122,60.754,55.629,10.992
3853.008,59.740,55.451,10.751
3853.897,58.184,55.564,10.838
3854.783,59.194,56.032,10.995
3855.672,57.368,55.374,11.181
3856.559,59.869,55.373,10.950
3857.446,55.125,55.512,10.404
3858.336,51.470,55.459,9.263
3859.223,54.628,55.641,8.176
3860.113,54.999,55.729,7.635
3861.001,52.052,55.770,8.076
3861.892,59.734,55.790,9.314
3862.780,64.411,55.538,10.843
3863.669,60.399,54.978,11.540
3864.560,58.181,54.477,10.948
3865.449,55.108,54.605,10.167
3866.340,61.519,55.592,9.498
3867.230,63.876,55.963,9.313
3868.121,57.603,55.764,9.244
3869.011,55.963,55.360,9.198
3869.901,61.216,55.160,8.878
3870.794,58.408,55.929,7.907
3871.684,53.694,56.358,6.525
3872.577,47.678,55.851,5.944
3873.468,62.809,55.418,6.862
3874.361,64.429,55.377,8.781
3875.252,61.257,55.305,10.307
3876.144,61.273,55.496,10.349
3877.038,58.395,55.746,9.310
3877.930,59.522,55.823,8.240
3878.824,65.830,55.822,7.505
3879.716,49.934,55.876,7.293
3880.611,58.280,56.087,7.588
3881.504,58.416,56.468,7.437
3882.396,55.487,56.300,7.302
3883.292,56.475,56.205,7.580
3884.185,56.817,56.237,8.136
3885.081,55.835,56.178,8.665
3885.975,55.077,56.046,8.540
3886.871,53.584,56.159,7.548
3887.765,60.794,56.174,6.720
3888.659,62.102,56.948,6.758
3889.556,58.592,57.155,7.726
3890.451,60.617,56.556,8.652
3891.348,58.747,56.245,9.198
3892.243,55.109,56.239,9.236
3893.141,58.914,56.215,8.814
3894.036,64.851,56.338,8.081
3894.934,61.123,56.478,7.674
3895.830,61.240,56.345,8.096
3896.726,61.085,56.105,8.880
3897.625,53.554,56.541,9.402
3898.522,64.734,56.344,9.395
3899.421,65.135,56.072,9.184
3900.318,59.155,56.393,9.402
3901.217,60.112,56.906,10.510
3902.115,61.083,56.822,11.328
3903.012,58.239,56.513,10.786
3903.912,62.562,56.498,10.087
3904.810,56.006,56.587,10.832
3905.711,60.253,56.695,13.641
3906.609,55.496,56.795,17.006
3907.510,67.332,56.932,18.093
3908.409,64.704,57.178,18.163
3909.308,58.238,56.814,17.298
3910.210,59.510,57.055,17.247
3911.109,56.420,57.010,18.357
3912.011,55.436,56.968,18.131
3912.911,56.599,57.621,16.857
3913.813,61.123,57.144,17.000
3914.714,56.473,57.582,17.797
3915.614,53.948,57.941,16.005
3916.517,51.917,57.493,13.568
3917.418,55.732,57.130,12.528
3918.322,59.658,57.681,13.047
3919.223,56.881,57.633,13.199
3920.127,60.276,57.858,11.957
3921.029,64.830,57.934,10.487
3921.931,58.414,57.950,9.438
3922.835,63.958,57.549,9.121
3923.737,58.731,56.836,9.351
3924.642,58.603,57.582,10.039
3925.545,60.724,57.521,10.091
3926.450,62.536,57.014,9.187
3927.354,62.448,57.286,8.049
3928.257,57.809,57.790,7.668
3929.163,59.243,57.427,7.926
3930.067,63.714,57.498,8.230
3930.973,60.124,57.865,8.028
3931.877,60.403,57.486,7.689
3932.784,64.004,57.173,7.519
3933.689,61.860,57.251,7.365
3934.594,58.720,57.293,7.019
3935.501,58.514,57.576,6.349
3936.406,59.146,57.884,5.673
3937.314,62.236,57.706,5.652
3938.220,63.984,57.461,6.917
3939.128,55.528,57.378,8.984
3940.034,57.964,57.342,11.305
3940.941,53.360,57.521,12.858
3941.849,62.709,57.825,13.649
3942.756,64.264,58.459,13.944
3943.665,60.280,58.683,13.840
3944.573,63.673,58.333,13.369
3945.482,63.758,58.091,12.588
3946.390,61.938,58.339,12.443
3947.298,54.704,58.279,13.069
3948.208,60.392,58.465,13.480
3949.116,59.477,58.201,12.680
3950.027,62.780,57.691,11.549
3950.936,61.093,57.856,11.349
3951.847,61.981,58.228,12.020
3952.756,64.047,58.462,12.323
3953.665,60.390,58.734,11.572
3954.577,62.779,58.700,10.738
3955.487,62.126,58.488,10.480
3956.399,59.695,58.561,10.562
3957.309,63.359,58.736,10.053
3958.221,62.631,59.062,9.600
3959.132,58.466,59.057,9.624
3960.045,57.360,59.470,10.189
3960.956,58.587,59.999,10.519
3961.867,60.768,59.542,10.084
3962.781,64.298,58.747,9.028
3963.692,64.046,59.578,7.903
